Unified TX Categories,Correlation,Count,Subtotal Reawrd
Blue Chip Only Swap,0.05680774632410413,24.0,35.740107506600005
Builder Payment,-0.38787811427182617,4.0,12.0896832725
Complex Blue Chip Arb,-0.45962267176354216,18.0,29.604021743100006
Complex Blue Chip Swap,-0.11357721336899877,31.0,49.617909562
Complex Blue Chip Swap (Buy),0.0165332171114084,22.0,32.39220784530001
Complex Blue Chip Swap (Sell),0.9094112049730625,5.0,2.7907163433999997
Liquidation,0.9999999999999999,2.0,13.256986983000001
MEV BOT Call,,1.0,22.00001339
Simple Blue Chip Arb,,1.0,0.6878605719
Simple Blue Chip Swap (Buy),-0.10505699709086681,50.0,46.0016620507
Simple Blue Chip Swap (Sell),-0.3930863614854133,5.0,14.9556765544
TG NFT Complex Blue Chip Swap (Buy),,1.0,0.7889877
TG NFT Simple Blue Chip Swap(Buy),-0.8532554271723854,5.0,15.751034273000002
TG Simple Blue Chip Swap (Buy),-0.12414467809506237,45.0,280.38716035400006
